Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Log Return,SMA_20,SMA_50,EMA_12,EMA_26,Rolling Volatility,Month,Quarter,Day of Week
2021-09-20,710.0,720.4000244140625,706.5,710.0,688.7138061523438,7943459,-0.014094466318241183,-0.01419473659433636,690.3920166015625,671.1339184570312,693.4667353664007,686.583675009223,0.010034441077477042,9,3,0
2021-09-21,711.1500244140625,714.5,694.4000244140625,711.8499755859375,690.50830078125,10009615,0.002605573770811498,0.002602185148401403,691.8058166503906,672.5273303222656,693.0115915840698,686.8743880293732,0.009947258695850402,9,3,1
2021-09-22,715.0,715.0,702.25,703.3499755859375,682.2632446289062,9740470,-0.011940560516094045,-0.012012421622937499,692.2374755859375,673.8206433105469,691.3579997448138,686.5328218515608,0.010123189023702293,9,3,2
2021-09-23,711.0,720.0,707.1500244140625,717.0,695.5039672851562,10412491,0.01940705843453694,0.019221143006696553,693.4960754394531,675.2298229980469,691.9958409048664,687.1973511429383,0.010701560491258278,9,3,3
2021-09-24,722.5999755859375,724.5999755859375,716.5499877929688,722.9500122070312,701.275634765625,11780868,0.008298539982450448,0.008264296416827714,694.6673736572266,676.3927099609375,693.4235014988293,688.240186966841,0.010566351545543562,9,3,4
2021-09-27,724.5,731.75,722.2999877929688,730.0,708.1142578125,7712240,0.009751690644664412,0.009704449780027507,696.1345275878906,677.703974609375,695.6836178547786,689.7123403628157,0.010521938224734965,9,3,0
2021-09-28,734.0999755859375,735.4000244140625,706.5999755859375,717.1500244140625,695.6495361328125,13491800,-0.017602698352937263,-0.017759468287796336,696.3042785644532,678.7059790039062,695.6783745129377,690.1521326420747,0.01105150436506769,9,3,1
2021-09-29,707.3499755859375,711.9500122070312,701.2999877929688,709.5,688.2288818359375,11453404,-0.010667230999861221,-0.010724533780787847,695.8410949707031,679.6978759765625,694.5322987164761,690.0096696193979,0.011225293888908583,9,3,2
2021-09-30,709.5999755859375,713.9000244140625,698.7999877929688,700.8499755859375,679.8381958007812,18487517,-0.012191708683851,-0.012266637191312423,694.9171478271485,680.6070727539062,692.271667498677,689.2562271143152,0.011451477220577787,9,3,3
2021-10-01,693.0,694.8499755859375,687.9000244140625,692.3499755859375,671.5929565429688,10935810,-0.012128237731774405,-0.012202384933480212,693.3263122558594,681.622177734375,689.0903273516449,687.9478367016229,0.01115672315021674,10,4,4
2021-10-04,697.0499877929688,703.3499755859375,694.0499877929688,700.2000122070312,679.2076416015625,8976533,0.011338244370206585,0.01127444824862233,692.157437133789,682.5177966308594,687.5699141593244,687.3004148423591,0.011123444842161583,10,4,0
2021-10-05,693.0,699.0,691.8499755859375,697.0999755859375,676.2006225585938,7497208,-0.004427245600297169,-0.004437074873900662,690.9909851074219,682.9528588867188,685.8207923745966,686.4782080065247,0.011160451770957888,10,4,1
2021-10-06,696.5999755859375,705.0,688.3499755859375,689.5,668.8284912109375,13200810,-0.010902284176790178,-0.010962149587699449,689.6620574951172,683.238544921875,683.2065921955721,685.170821577222,0.010908589713274575,10,4,2
2021-10-07,697.5499877929688,704.9500122070312,693.4500122070312,702.2000122070312,681.147705078125,10041549,0.018419092531305248,0.01825151566123464,688.7526641845703,683.7570739746094,682.8898403313494,684.8728129476593,0.011381371444435762,10,4,3
2021-10-08,706.0,710.0,698.2999877929688,703.4000244140625,682.3117065429688,9383924,0.0017088826052937822,0.0017074241267571071,687.9354187011719,684.1518725585937,682.8008966715985,684.6831013621266,0.01120652897002969,10,4,4
2021-10-11,702.0,719.4000244140625,700.2999877929688,713.2999877929688,691.9149780273438,9337637,0.014074610463641779,0.013976482800988285,688.2215759277344,684.6524035644532,684.2030630340208,685.2187959299205,0.011485757184363142,10,4,0
2021-10-12,706.5,713.0,704.4000244140625,708.5999755859375,687.3558349609375,7376091,-0.006589166604550778,-0.0066109709974529005,688.2773498535156,685.1587524414062,684.6881048689311,685.3770951174032,0.010967755998799626,10,4,1
2021-10-13,713.8499755859375,715.9000244140625,707.9500122070312,709.9500122070312,688.6653442382812,6357766,0.0019051402646754756,0.0019033277866129545,688.0639465332031,685.7126330566406,685.2999878488312,685.6206691263571,0.010878234201456246,10,4,2
2021-10-14,710.25,729.7999877929688,709.0499877929688,727.2999877929688,705.4951782226562,8950350,0.024438334417699048,0.024144495980146792,688.0687957763672,686.4285070800781,688.406940214035,687.0928549853423,0.011783440041828998,10,4,3
2021-10-18,739.0,748.9000244140625,732.0499877929688,745.4500122070312,723.10107421875,15345601,0.024955373955138915,0.024649074037839957,689.2958679199219,687.0260388183593,693.7444992916834,689.7601304841132,0.012555278132186223,10,4,0
2021-10-19,755.0,755.0,738.75,747.4500122070312,725.0410766601562,11349799,0.0026828924898254503,0.0026792999579195054,691.1122314453125,687.8990563964844,698.5593573483715,692.3735339045609,0.012552042636069993,10,4,1
2021-10-20,746.75,757.4500122070312,741.9000244140625,745.8499755859375,723.4890747070312,12762996,-0.0021405710698132463,-0.002142865366720797,692.7612701416016,688.8341552734375,702.3946984804729,694.678388778818,0.012525279905794036,10,4,2
2021-10-21,748.9000244140625,759.8499755859375,737.4000244140625,755.5,732.8497314453125,12166996,0.012938214363598766,0.01285523067551454,695.2905944824219,689.8555859375,707.0800881673713,697.5058956430028,0.01262904578728042,10,4,3
2021-10-22,758.5,765.8499755859375,753.3499755859375,759.2999877929688,736.5357666015625,13248928,0.00502972846695382,0.005017121637675968,697.3421844482422,690.9885668945312,711.6117310034007,700.3969971954887,0.012623084456658384,10,4,4
2021-10-25,800.0,867.0,798.4000244140625,841.7000122070312,816.4654541015625,96124084,0.10852112161341765,0.10302680412221482,703.101675415039,693.862734375,727.7430730185024,708.9946606700126,0.023194642411656457,10,4,0
2021-10-26,828.7000122070312,841.7000122070312,822.3499755859375,829.4000244140625,804.5342407226562,16925115,-0.01461324948773901,-0.014721074759035826,707.9226745605469,696.3469543457031,739.5570988191414,716.0716665998382,0.023090099679218455,10,4,1
2021-10-27,828.75,849.0,824.2000122070312,835.0,809.96630859375,22898400,0.006751816885027129,0.00672912545107801,713.6385131835938,698.8728845214844,750.3892849383119,723.026825266054,0.02306750693540248,10,4,2
2021-10-28,830.0999755859375,831.9500122070312,796.25,798.7000122070312,774.7545776367188,18750423,-0.04347308102008007,-0.04444634728830749,717.9647979736328,700.7362902832032,754.1377915072976,726.858510626844,0.024738254302444456,10,4,3
2021-10-29,798.0,808.75,783.9000244140625,802.0499877929688,778.004150390625,15701200,0.00419432533566777,0.004185553672077056,722.873095703125,702.6928198242188,757.8095390278095,730.6470765352722,0.02459730581365134,10,4,4
2021-11-01,807.7000122070312,809.7000122070312,793.0,803.9000244140625,779.7987060546875,11406421,0.0023066145124823745,0.002303958360922123,728.2833831787109,704.9355053710938,761.1924878011754,734.2879379811549,0.024471712726518952,11,4,0
2021-11-02,809.0,810.0,798.0,800.9500122070312,776.9371337890625,9452457,-0.0036696294100087012,-0.003676379017443497,733.1698577880859,707.2684020996094,763.6147410300811,737.4471376706294,0.024279884507338007,11,4,1
2021-11-03,806.0,806.0,780.4500122070312,785.9500122070312,762.3868408203125,11839149,-0.018727761019465383,-0.018905346213134576,737.4791687011718,709.2714929199219,763.4258333055013,739.2945230891245,0.02464092551919708,11,4,2
2021-11-04,788.5,789.0,779.0,782.0999755859375,758.6522827148438,3149310,-0.004898508087377795,-0.004910545103153251,741.9703582763672,710.9719372558594,762.6914409069386,740.728431209548,0.02452114417483411,11,4,3
2021-11-08,793.0,793.0,773.1500244140625,780.1500244140625,756.7607421875,13967995,-0.0024932904974264147,-0.002496403922370599,745.751010131836,712.7005126953125,761.7790257193327,741.9160098005075,0.024366705964916826,11,4,0
2021-11-09,784.0,788.5999755859375,779.2000122070312,786.5499877929688,762.9688720703125,10084357,0.008203556998566341,0.008170090728575214,749.7838684082031,714.4028967285157,761.9620790040988,743.4754810797523,0.024366012417801706,11,4,1
2021-11-10,782.5499877929688,784.2999877929688,773.0999755859375,780.9000244140625,757.48828125,9507347,-0.00718324301414941,-0.0072091667230493334,753.062533569336,715.9772387695313,761.2738024265451,744.5134662775484,0.024402494410108052,11,4,2
2021-11-11,776.7000122070312,777.0,766.0999755859375,771.4500122070312,748.3216552734375,9221059,-0.012101343616083171,-0.012175161005599722,756.1108245849609,717.0985815429688,759.28116440299,744.7955543513181,0.024266312282919346,11,4,3
2021-11-12,772.7000122070312,779.9000244140625,771.2000122070312,776.5999755859375,753.317138671875,15380106,0.006675583104182925,0.006653400067703331,759.3434143066406,718.2150732421875,758.3636219828186,745.4267828195075,0.024142934884427193,11,4,4
2021-11-15,777.0,784.5499877929688,771.5499877929688,773.2999877929688,750.1161499023438,10934583,-0.00424919148285241,-0.004258244952701451,761.574462890625,719.2510534667969,757.0947801242841,745.774143344162,0.024010530648248356,11,4,0
2021-11-16,773.2999877929688,775.75,762.0,764.0499877929688,741.1434326171875,12785837,-0.011961770568897134,-0.012033888226676321,762.4765808105469,720.0057287597656,754.6407266616537,745.4311277347564,0.024006800993142046,11,4,1
2021-11-17,760.9000244140625,771.9500122070312,756.2999877929688,761.2999877929688,738.475830078125,11657214,-0.0035993067221042896,-0.003605799811640274,763.1483184814454,720.7235424804687,752.153819494957,744.9159205009317,0.023994754303218555,11,4,2
2021-11-18,764.9000244140625,767.5,756.4000244140625,762.9000244140625,740.0279541015625,20644385,0.0021017939385683526,0.0020995882597358096,763.9752624511718,721.5335083007812,750.288301742127,744.5538489157933,0.023954085214704417,11,4,3
2021-11-22,768.2999877929688,770.4500122070312,740.25,752.0,729.4546508789062,20403786,-0.014287707868404609,-0.014390759929337894,763.8055084228515,722.2144604492188,747.083124686247,743.4353898019499,0.024031036959042948,11,4,0
2021-11-23,740.9500122070312,757.9500122070312,731.2000122070312,751.8499755859375,729.3091430664062,24913042,-0.00019947478890525172,-0.00019949468664706534,763.4441772460938,722.8139318847657,744.3486659755022,742.3890011548725,0.023863310856038288,11,4,1
2021-11-24,750.25,772.25,746.7000122070312,760.2000122070312,737.4088745117188,23186419,0.011106033048285724,0.01104481391403619,759.4913482666016,723.5889770507813,743.2810057503048,742.0201028850092,0.023913601728306418,11,4,2
2021-11-25,754.9000244140625,754.9500122070312,745.2999877929688,751.0499877929688,728.5331420898438,17749726,-0.012036378634244338,-0.012109402392164141,755.691293334961,724.4358032226562,741.0121036486953,741.021068752034,0.023966341872152404,11,4,3
2021-11-26,739.0,742.0499877929688,718.5999755859375,722.2000122070312,700.548095703125,18987552,-0.03841286658070475,-0.03917009567830024,750.2203826904297,724.7219580078125,734.7868716570691,738.0230707484111,0.02503926017951571,11,4,4
2021-11-29,726.75,727.75,710.5,718.4000244140625,696.8619995117188,15878074,-0.005261731798309466,-0.0052756234599603095,746.3257537841797,724.8005297851563,728.9522759423999,734.9741025086562,0.02506376769817788,11,4,0
2021-11-30,716.75,732.2999877929688,711.0999755859375,714.3499755859375,692.9334106445312,23965914,-0.0056375421101168,-0.005653493028202294,742.072216796875,724.5512341308594,723.41091205042,731.8599771853877,0.024679515157925103,11,4,1
2021-12-01,716.4000244140625,732.75,715.0,727.7000122070312,705.8832397460938,15214913,0.018688417822886105,0.018515934983024132,738.3764434814453,724.6977062988282,720.7143470805237,729.9357744121068,0.02448397938676037,12,4,2
2021-12-02,724.5999755859375,727.0999755859375,715.2000122070312,722.4000244140625,700.7421264648438,21924640,-0.007283234665125704,-0.0073098869072585155,734.5666931152343,724.9382727050781,717.6416977550344,727.7732819715687,0.02450655564393617,12,4,3
2021-12-03,720.5,729.5,715.0999755859375,716.2999877929688,694.8250122070312,20130259,-0.008444068130545546,-0.008479921247281644,731.1886016845704,725.0246069335938,714.131438439957,725.3326693964178,0.02454493224652748,12,4,4
2021-12-06,719.0,726.7999877929688,707.5,709.5499877929688,688.27734375,20129080,-0.00942347834634416,-0.009468160245908377,727.6698547363281,725.1448889160156,710.1538854107329,722.5878304596462,0.024444281886675325,12,4,0
2021-12-07,717.0,740.9500122070312,712.0,734.6500244140625,712.6248779296875,30513303,0.03537459775594631,0.03476329143537908,725.4630615234375,725.4873071289062,710.5340381059566,721.8498339759454,0.025348291676021872,12,4,1
2021-12-08,747.9000244140625,758.7999877929688,744.0999755859375,753.4000244140625,730.812744140625,33432411,0.025522356535989443,0.025202098912843165,723.8552551269531,726.0780493164062,713.6538390343671,722.5137532474032,0.015697013309994054,12,4,2
2021-12-09,759.0499877929688,763.0,748.4000244140625,755.0,732.3646850585938,16007459,0.002123582176708938,0.002121330563172437,722.5990753173828,726.5630578613282,716.532430730402,723.243451900084,0.015587949118335345,12,4,3
2021-12-10,756.5,759.7999877929688,751.0499877929688,758.0,735.2747802734375,7627774,0.003973560268830889,0.00396568652918649,721.9467315673828,727.3555627441406,719.4158691216383,724.1346614092213,0.015536121723003699,12,4,4
2021-12-13,763.0,769.7000122070312,752.5,754.0,731.3947143554688,16855546,-0.0052770284281011826,-0.005291001120490915,720.8506103515625,728.2188793945312,721.2587683883814,724.6724431089433,0.013552032716158095,12,4,0
2021-12-14,751.0499877929688,764.3499755859375,746.2999877929688,758.6500244140625,735.9053955078125,17488089,0.006167232362786157,0.006148292815116462,720.1400726318359,729.3402233886719,723.5120956375247,725.5045136570077,0.013587012825769062,12,4,1
2021-12-15,757.5999755859375,759.5,750.9000244140625,752.25,729.6972045898438,7358740,-0.008436126376930253,-0.00847191189394521,719.5677612304687,730.5023083496094,724.4636508609584,725.8150833557362,0.013617575344498202,12,4,2
2021-12-16,757.9000244140625,757.9000244140625,738.9500122070312,741.1500244140625,718.9299926757812,14123215,-0.014755725863188185,-0.01486567450796427,718.5904693603516,731.2967553710937,723.6123188324696,725.3050766387025,0.013810092730728162,12,4,3
2021-12-17,742.0,742.0,726.0499877929688,728.2999877929688,706.4652099609375,13227787,-0.017337964533168493,-0.017490027242052453,716.9123321533203,731.9020471191407,720.9743020830031,723.9095309588681,0.013755973025689738,12,4,4
2021-12-20,718.0999755859375,720.2000122070312,698.2000122070312,709.9500122070312,688.6653442382812,16900016,-0.025195672018499593,-0.025518517374815267,714.8728668212891,732.2987841796875,716.0036931838151,721.2988504610469,0.014366420392295522,12,4,0
2021-12-21,720.0,728.9500122070312,716.1500244140625,720.3499755859375,698.7535400390625,14563335,0.014648908769962388,0.014542649965923879,713.3450866699219,732.6509008789062,713.3498234692379,719.6288274668258,0.014728601550735895,12,4,1
2021-12-22,726.25,734.9500122070312,720.0499877929688,732.7999877929688,710.830322265625,9843359,0.017283321707232346,0.0171356640181095,712.0161590576172,733.2212731933594,712.9622078994513,718.977086340811,0.015047043387835092,12,4,2
2021-12-23,739.0499877929688,739.5,727.9500122070312,731.2999877929688,709.3753051757812,9994049,-0.0020469260304009085,-0.00204902384669324,711.0582672119141,733.5704797363281,712.4103767111944,718.2658432915495,0.015018137275041149,12,4,3
